year,zcta5,geo_id,zcta_name,total_population,median_household_income,male_total,male_age_under_5,male_age_5_to_9,male_age_10_to_14,male_age_15_to_17,male_age_18_to_19,male_age_20,male_age_21,male_age_22_to_24,male_age_25_to_29,male_age_30_to_34,male_age_35_to_39,male_age_40_to_44,male_age_45_to_49,male_age_50_to_54,male_age_55_to_59,male_age_60_to_61,male_age_62_to_64,male_age_65_to_66,male_age_67_to_69,male_age_70_to_74,male_age_75_to_79,male_age_80_to_84,male_age_85_plus,female_total,female_age_under_5,female_age_5_to_9,female_age_10_to_14,female_age_15_to_17,female_age_18_to_19,female_age_20,female_age_21,female_age_22_to_24,female_age_25_to_29,female_age_30_to_34,female_age_35_to_39,female_age_40_to_44,female_age_45_to_49,female_age_50_to_54,female_age_55_to_59,female_age_60_to_61,female_age_62_to_64,female_age_65_to_66,female_age_67_to_69,female_age_70_to_74,female_age_75_to_79,female_age_80_to_84,female_age_85_plus,education_25plus_total,education_25plus_no_schooling,education_25plus_nursery_school,education_25plus_kindergarten,education_25plus_grade_1,education_25plus_grade_2,education_25plus_grade_3,education_25plus_grade_4,education_25plus_grade_5,education_25plus_grade_6,education_25plus_grade_7,education_25plus_grade_8,education_25plus_grade_9,education_25plus_grade_10,education_25plus_grade_11,education_25plus_grade_12_no_diploma,education_25plus_high_school_diploma,education_25plus_ged,education_25plus_some_college_less_than_1_year,education_25plus_some_college_1plus_years_no_degree,education_25plus_associates,education_25plus_bachelors,education_25plus_masters,education_25plus_professional_school,education_25plus_doctorate,native_born_in_state,native_born_other_state_us,foreign_born_total,foreign_born_naturalized,foreign_born_noncitizen,born_other_state_25plus_total,born_other_state_25plus_bachelors,born_other_state_25plus_graduate_degree,foreign_born_25plus_total,foreign_born_25plus_bachelors,foreign_born_25plus_graduate_degree,race_white_alone,race_black_alone,race_american_indian_or_alaska_native_alone,race_asian_alone,race_native_hawaiian_or_pacific_islander_alone,race_some_other_race_alone,race_two_or_more,hispanic_or_latino_total
2021,90001,860Z200US90001,ZCTA5 90001,58245,52806,29480,2316,2461,2808,1418,707,576,527,1305,2135,2532,1953,2106,2235,1776,1496,529,668,358,333,562,240,237,202,28765,2255,2310,2548,1663,926,373,507,1153,2426,2218,1747,1980,2002,1543,1360,614,679,329,597,687,331,194,323,34392,2386,21,118,84,584,989,700,968,3671,488,714,2454,681,1155,2115,7582,694,1413,3696,1613,1804,320,88,54,32412,1644,23674,7606,16068,1342,63,58,21630,577,131,20030,4799,1196,293,70,25981,5876,52765
2021,90002,860Z200US90002,ZCTA5 90002,54384,46159,26450,1902,2331,2511,1651,659,578,530,1372,2433,1842,1558,1628,1760,1637,1261,555,564,374,366,417,193,277,51,27934,2000,2280,2497,1413,989,505,500,1582,2418,1878,1657,2197,1545,1178,1755,525,706,408,434,593,424,166,284,31084,1944,10,55,186,434,841,449,694,2844,301,699,2169,854,1797,1804,6729,787,1286,3945,1266,1541,340,71,38,31982,3081,18987,6099,12888,2773,122,61,17145,380,82,17275,9256,1893,627,75,19551,5707,44082
2021,90003,860Z200US90003,ZCTA5 90003,75190,47733,37637,3124,3539,3953,2501,1294,603,389,1651,3193,2663,2562,2005,2158,2057,2009,649,944,374,577,463,475,148,306,37553,2811,3022,3117,1882,855,667,709,1567,3819,2852,2614,2568,2068,2421,2015,510,1071,413,578,807,420,345,422,43506,2964,8,0,463,484,1134,559,1115,3832,759,1264,2780,1151,2106,2518,11006,874,1543,4089,1662,2321,814,0,60,40549,4347,29511,8102,21409,3290,241,82,26414,767,427,16669,12865,709,384,45,33974,10544,60929
2021,90004,860Z200US90004,ZCTA5 90004,59621,54947,30137,1756,1402,1930,756,535,248,427,1413,3204,3191,2355,2387,2183,1870,1787,750,819,656,916,796,358,216,182,29484,1710,1967,1254,939,595,288,238,1495,3090,2895,1991,1825,2040,1844,2086,719,937,506,716,936,479,463,471,42668,1611,0,20,90,149,480,165,374,2492,295,442,1894,207,436,1000,7929,691,1408,4981,1972,11534,2900,1153,445,21985,8816,28130,11677,16453,7328,3493,1569,25748,4873,1713,17681,2448,446,15224,104,19907,3811,28019
2021,90005,860Z200US90005,ZCTA5 90005,36910,44913,18539,815,1165,972,488,387,209,151,646,2389,2052,1585,1747,1087,1144,954,322,408,378,297,477,268,257,341,18371,985,848,998,420,245,243,202,1046,1802,1781,1509,1570,1038,1121,1027,521,423,169,309,693,636,299,486,27090,1056,0,39,0,215,275,181,404,2545,183,443,1586,173,367,384,5189,252,564,2437,1162,7050,1746,634,205,12278,4176,20028,7493,12535,3592,1648,706,18541,3721,1184,7616,2180,325,12212,18,10302,4257,18134
2021,90006,860Z200US90006,ZCTA5 90006,57136,41068,27915,1178,1836,1926,874,681,353,412,1519,2929,2914,2052,2086,1998,1961,1421,613,739,342,602,740,299,244,196,29221,1463,2080,1603,1255,780,257,325,1359,2473,2768,2069,1751,1813,1930,1773,657,972,555,609,883,790,448,608,39235,2887,37,53,325,476,986,667,682,3676,322,810,2878,424,583,726,8552,361,1145,4014,1642,6102,1396,260,231,22045,3320,31386,9482,21904,2881,1023,416,28832,3399,941,16801,1897,624,10531,119,21104,6060,41465
2021,90007,860Z200US90007,ZCTA5 90007,41270,33222,21000,673,638,897,553,1796,1383,1729,3133,2240,1426,995,844,779,617,917,285,499,258,269,529,282,82,176,20270,701,857,935,480,1879,1240,1280,2257,2411,1181,917,911,955,878,661,313,496,396,320,406,295,226,275,20839,1355,18,25,130,171,343,375,515,1321,200,281,1028,457,487,830,3572,384,598,2313,1029,3317,1523,287,280,17156,6019,17423,5613,11810,1958,430,491,13078,1586,1067,14367,4310,257,7734,46,10462,4094,21954
2021,90008,860Z200US90008,ZCTA5 90008,31046,49379,14339,649,519,796,477,221,107,94,784,1544,852,1295,923,836,1275,871,428,484,380,503,641,207,312,141,16707,800,666,1021,216,382,159,192,439,914,1527,845,1514,1151,1202,986,563,713,710,532,679,553,383,560,23524,413,0,35,78,67,163,97,43,523,69,148,188,328,507,694,3865,445,1240,4886,2002,3975,2858,580,320,17509,7243,6181,2737,3444,6767,1298,1556,5479,623,681,3221,20459,203,1298,68,4179,1618,7187
2021,90010,860Z200US90010,ZCTA5 90010,4313,76547,2083,26,58,0,4,0,35,9,158,461,383,248,84,90,109,65,36,78,70,33,93,27,0,16,2230,93,15,0,74,77,36,88,152,252,294,177,107,120,84,79,85,102,60,40,112,60,7,116,3488,58,0,3,0,0,28,0,0,107,0,0,2,0,0,19,623,54,132,347,225,1386,400,97,7,1160,449,2581,1204,1377,421,268,42,2194,827,280,1046,239,36,2672,65,103,152,444
2021,90011,860Z200US90011,ZCTA5 90011,109511,47126,56238,4453,4694,5613,2659,1567,854,1018,3185,4579,4063,4177,3970,3861,3216,2694,854,1351,751,936,851,413,318,161,53273,3339,4302,4533,3224,1562,817,1215,2481,4522,4073,3707,4087,4010,2924,2646,930,1050,853,831,845,524,483,315,63995,5550,86,207,645,907,2119,1169,1590,8738,968,1988,4607,1181,2015,3532,12574,1122,2069,5971,2520,3090,1087,170,90,55455,3241,49871,12925,36946,2325,333,100,45810,1142,686,34228,6681,1547,705,105,54332,11913,100502
2021,90012,860Z200US90012,ZCTA5 90012,39709,53278,25234,767,310,393,489,364,340,397,2048,4469,3668,2734,2071,1917,1276,1105,316,618,278,274,368,392,329,311,14475,520,307,223,171,267,37,100,807,2456,1794,1156,750,914,764,610,285,339,215,353,757,492,658,500,32169,1322,0,31,42,66,303,126,176,770,254,559,705,821,1386,1270,5061,1024,922,4160,1760,6987,3229,715,480,16973,6428,15733,8470,7263,5777,1803,1236,14451,3091,1881,10063,5465,444,13596,61,6870,3210,11580
2021,90013,860Z200US90013,ZCTA5 90013,13413,22291,8328,0,63,63,12,0,29,79,293,777,1347,955,824,773,683,599,516,542,78,313,187,45,97,53,5085,38,57,0,0,0,0,8,260,793,885,428,297,323,270,476,96,177,121,206,93,132,212,213,12511,108,0,0,1,10,114,71,30,143,111,62,175,195,602,395,2021,545,537,2069,694,2912,1070,618,28,6625,4000,2602,1329,1273,3812,1563,480,2436,612,367,4641,3799,210,1923,135,1203,1502,2917
2021,90014,860Z200US90014,ZCTA5 90014,8547,31332,4948,0,72,102,14,68,55,4,199,463,822,475,334,358,379,470,157,279,152,121,322,58,44,0,3599,76,13,32,0,39,38,0,99,545,577,452,384,170,190,56,63,166,55,53,93,56,88,354,7736,14,0,0,0,73,12,16,14,272,0,0,124,191,281,172,1017,182,270,1222,597,2226,721,300,32,2907,2847,2631,1461,1170,2741,817,425,2507,637,326,3154,1762,20,1866,0,1092,653,2156
2021,90015,860Z200US90015,ZCTA5 90015,24228,53062,12990,568,436,607,373,317,286,125,672,2032,1566,1428,1053,1200,579,471,145,288,197,137,197,91,87,135,11238,368,704,461,314,120,179,252,1147,1630,1328,1187,624,599,475,414,162,316,84,142,292,160,52,228,17299,702,0,19,55,139,212,134,287,994,85,141,698,227,223,426,2110,371,569,1622,828,4839,1400,847,371,9519,3760,10604,3705,6899,3289,1455,899,9432,1737,849,8189,1966,374,4614,0,7184,1901,13713
2021,90016,860Z200US90016,ZCTA5 90016,45884,53659,23042,1228,1407,1948,982,378,354,243,1346,2227,2226,1900,1246,1408,1313,1267,669,751,322,452,487,319,236,333,22842,747,1494,1373,710,392,213,229,784,2857,1809,1593,1238,1812,1311,1681,578,634,449,610,861,514,371,582,32056,1157,22,8,62,123,291,209,612,1600,173,221,710,501,621,1016,6620,418,1326,5567,2038,5791,2145,524,301,24536,7080,13774,6230,7544,6568,2018,1363,12777,1463,473,16100,12997,82,2070,34,8651,5950,25152
2021,90017,860Z200US90017,ZCTA5 90017,28433,44607,15565,977,820,857,449,316,217,119,740,2243,2028,1377,1108,970,824,612,253,271,479,271,171,157,214,92,12868,826,545,895,481,217,205,77,633,1666,1724,734,1017,910,775,453,205,270,119,163,349,242,228,134,20059,1050,0,20,210,213,442,248,123,1394,114,248,991,187,435,643,2922,453,727,1649,1170,4269,1867,399,285,10954,3935,12905,3931,8974,3602,1465,727,11741,1427,1268,9814,3221,81,4396,137,9229,1555,16809
2021,90018,860Z200US90018,ZCTA5 90018,51388,55275,24983,1594,1719,1992,847,544,293,535,1275,2189,1843,2005,1662,1524,1729,1394,461,758,372,485,816,391,260,295,26405,1400,1191,1658,981,708,393,280,1184,2139,2710,1684,1786,1398,1524,1954,556,701,534,678,991,771,462,722,34794,1986,5,26,194,282,423,366,279,1765,259,749,1097,459,544,1078,7069,765,1641,5811,1999,5526,1625,520,326,25269,6223,19194,8812,10382,5577,1447,688,17429,1447,775,14335,14408,188,2765,89,14638,4965,29230
2021,90019,860Z200US90019,ZCTA5 90019,61061,61616,30365,1885,1212,1612,924,259,284,464,1238,2829,2610,3046,2373,1908,2258,2101,906,866,605,645,1033,622,290,395,30696,1399,1193,1846,838,524,351,254,1291,2746,2495,2663,2257,1938,1777,2486,932,918,792,727,1090,818,572,789,45487,2166,57,2,145,169,486,280,364,2015,209,708,1317,646,682,1097,8643,527,1486,5783,2717,10836,3675,1028,449,26210,10805,23380,9979,13401,10082,3694,1725,22001,3431,1529,19471,10822,390,10762,216,13247,6153,26817
2021,90020,860Z200US90020,ZCTA5 90020,38124,51013,18844,1126,1042,733,556,389,137,99,912,2382,1833,1781,1337,1460,755,1274,526,483,298,611,573,269,193,75,19280,886,977,672,589,322,373,139,728,2476,1668,1309,1275,1627,1352,1106,388,906,380,338,646,294,318,511,28444,778,9,64,109,122,301,144,170,690,272,181,812,111,231,888,4644,423,933,2990,1610,9525,2331,770,336,12269,4000,21235,10243,10992,3406,1504,623,19621,6192,2095,7633,2624,496,16918,73,8320,2060,12991
2021,90021,860Z200US90021,ZCTA5 90021,2724,25364,1566,15,148,56,36,6,0,7,41,112,145,191,202,119,110,126,41,76,21,19,5,20,15,55,1158,33,63,17,77,32,1,0,48,116,151,95,124,116,64,125,23,5,0,0,31,37,0,0,2144,129,0,16,46,147,17,0,14,193,28,0,93,18,144,52,313,43,63,330,144,199,81,74,0,1092,662,959,283,676,625,75,89,912,58,0,814,481,76,173,0,847,333,1473
2021,90022,860Z200US90022,ZCTA5 90022,65110,57464,32798,2299,1974,2681,1276,753,447,499,1860,3192,2902,2317,1688,2033,2024,2031,840,1030,551,551,782,453,314,301,32312,1658,2481,2278,1675,776,436,513,1719,2979,2136,1937,1930,2365,1867,1691,893,1010,664,785,892,502,553,572,41785,2467,0,35,205,385,928,417,534,3643,455,1336,2301,1051,1555,2330,9436,1156,2080,5489,1853,2956,826,151,196,37968,1457,24933,9386,15547,1195,66,84,23151,913,201,26918,376,1405,726,16,28140,7529,62888
2021,90023,860Z200US90023,ZCTA5 90023,45732,48293,23073,1682,1711,2368,1423,619,382,359,1345,1775,1406,1597,1260,1632,1323,1033,592,437,266,595,401,399,151,317,22659,1410,1521,1983,1435,683,315,347,1068,1625,1556,1777,1615,1423,1329,995,377,568,365,505,595,402,269,496,27081,2284,16,92,244,340,869,487,437,3223,366,676,1440,628,751,1201,6060,556,889,3304,953,1857,293,67,48,25985,1141,18312,6463,11849,830,229,144,16913,536,72,15723,474,669,435,0,23889,4542,43949
2021,90024,860Z200US90024,ZCTA5 90024,50611,67422,21518,498,429,339,251,4632,1536,1396,2156,1742,1620,798,609,740,667,643,311,266,487,320,701,416,480,481,29093,731,511,303,455,7237,2749,2633,2595,1908,1525,728,799,642,634,758,387,785,195,413,1072,512,422,1099,22160,231,0,0,0,0,8,16,12,177,58,21,157,60,39,81,1989,81,378,1887,814,7895,4270,2475,1511,22932,11713,15244,7860,7384,6149,2152,2612,9904,2917,3816,29098,2050,156,13106,106,1783,4312,6945
2021,90025,860Z200US90025,ZCTA5 90025,44608,100453,22563,1291,703,497,319,554,166,146,1525,4011,3236,2120,1375,1394,1019,905,352,515,339,488,642,404,249,313,22045,1039,446,591,202,96,131,129,1630,3358,3279,2123,1266,1546,1213,861,289,477,351,495,847,700,358,618,35143,363,0,0,0,0,0,18,12,360,99,97,70,45,220,347,2697,262,943,3207,1452,14761,6087,2625,1478,17750,12008,14034,7040,6994,10430,4749,3158,12912,4243,3724,27694,1523,22,10466,17,1591,3295,5936
2021,90026,860Z200US90026,ZCTA5 90026,65921,70436,33329,1725,1129,1436,808,639,443,412,1386,3064,5262,3239,3044,2127,2205,1662,641,677,693,893,747,480,329,288,32592,1426,1583,1220,801,620,290,191,1496,3786,4415,2787,2391,1831,1750,1745,750,1098,665,851,972,741,453,730,50316,2198,76,59,169,303,939,377,378,1339,520,441,1215,598,858,1368,6219,888,1932,6280,2575,14622,4544,1925,493,28739,13102,23400,11438,11962,12028,5565,2892,21990,3968,1497,26122,2279,548,9800,163,21349,5660,32695
2021,90027,860Z200US90027,ZCTA5 90027,44678,78356,22269,1291,731,531,315,186,123,83,812,2465,2887,2585,2281,1379,1215,1235,572,608,524,608,574,524,272,468,22409,1070,645,430,323,169,314,124,743,2557,3310,2336,1262,1338,1109,1281,576,799,641,579,1043,596,488,676,36788,668,0,17,31,83,95,125,84,322,13,62,324,157,243,710,4666,563,1300,4322,2013,14027,4502,1627,834,15996,14025,13776,8665,5111,13038,6112,3067,13241,3310,2044,29049,1223,88,5515,54,5594,3155,10065
2021,90028,860Z200US90028,ZCTA5 90028,29887,52814,15980,177,296,227,188,280,286,176,566,2399,2472,1800,1417,1447,891,1039,240,419,204,273,561,187,193,242,13907,353,537,527,142,234,233,189,949,2311,1774,1213,815,722,590,912,310,311,298,119,430,366,359,213,24527,817,13,6,5,55,108,9,138,333,32,18,61,143,130,383,3173,852,728,3505,1435,9411,2230,706,236,8913,9604,10697,4907,5790,8480,4389,1267,9982,2829,1172,15755,2733,341,3482,0,4884,2692,8797
