year,ZCTA5,GEO_ID,NAME,B01003_001E,B19013_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B05002_003E,B05002_004E,B05002_013E,B05002_014E,B05002_021E,B06009_013E,B06009_017E,B06009_018E,B06009_025E,B06009_029E,B06009_030E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03002_012E
2016,90001,8600000US90001,ZCTA5 90001,57942,34323,29520,2555,2862,2603,1654,1181,729,456,1473,2426,2120,1935,2044,1892,1680,1188,405,587,354,337,371,329,136,203,28422,2575,2542,2304,1582,858,656,416,1511,2438,2072,2093,1745,1559,1610,1297,458,504,338,523,551,249,262,279,31985,2178,26,35,230,634,1392,650,621,4635,631,1226,2234,1002,1477,1355,7013,431,737,3042,1020,1221,164,22,9,30955,2267,24508,7156,17352,1822,157,20,22065,407,37,20811,5153,520,97,11,30661,689,52223
2016,90002,8600000US90002,ZCTA5 90002,51826,32520,24877,2435,2293,2305,1288,919,547,514,1326,1972,1723,1586,1833,1494,1509,1106,381,339,256,280,387,185,98,101,26949,2249,2165,2364,1562,1178,540,585,1359,2211,1584,2103,1676,1834,1670,1035,498,383,282,386,515,343,205,222,28197,1586,58,0,323,560,835,385,613,2719,391,1100,1556,818,1618,1059,7491,361,988,3335,913,1209,184,78,17,29845,3367,18359,4861,13498,2996,210,60,16334,552,49,19573,11188,411,311,55,19716,572,39527
2016,90003,8600000US90003,ZCTA5 90003,70208,31878,33953,3307,3212,3293,2114,1074,635,486,1604,2751,2330,2377,2018,2119,2127,1420,561,614,451,426,479,310,110,135,36255,3417,3336,3058,1941,1332,722,539,1901,2555,2977,2816,2272,2235,2084,1725,398,705,346,427,516,401,216,336,38237,2326,28,35,257,403,1008,559,820,4588,738,1098,2680,1237,2040,1975,9109,745,1065,4130,1382,1666,274,41,33,38621,4759,26529,6775,19754,4022,244,57,23616,708,97,18114,16206,594,180,13,34284,817,53630
2016,90004,8600000US90004,ZCTA5 90004,63095,43180,31141,1780,1277,1516,1086,861,525,392,1231,3420,3606,2410,2501,2483,2157,1767,632,792,513,492,604,368,408,320,31954,2088,2022,1864,950,464,461,451,1324,2707,2794,2353,2521,2274,2304,1986,882,923,681,603,796,691,375,440,44803,1838,0,27,89,261,338,397,389,2472,284,493,2472,356,645,1226,8072,746,1213,5377,2540,11058,2822,1257,431,22828,7605,32106,13076,19030,6757,2823,1729,29128,5804,1801,25611,2405,115,15870,278,16752,2064,31965
2016,90005,8600000US90005,ZCTA5 90005,39338,31485,19592,1347,1126,935,513,396,289,239,996,2411,2370,1632,1732,1296,1117,960,319,436,289,291,459,226,76,137,19746,1367,1030,1042,447,386,232,142,893,2562,1592,1513,1483,1259,1254,1088,470,510,360,463,645,342,373,293,27958,1113,0,0,153,308,426,234,301,2343,182,461,1897,208,374,733,5788,266,610,3400,1383,6178,1043,440,117,12162,3250,23622,7280,16342,2637,1056,443,21188,3738,780,7471,2213,281,13289,40,15096,948,20199
2016,90006,8600000US90006,ZCTA5 90006,61230,31993,30807,2170,2213,1801,1156,872,446,400,1438,2895,3319,2626,1915,2015,2057,1695,425,735,516,474,759,440,211,229,30423,2056,2136,1815,1085,924,399,364,1431,2742,2515,2245,1942,1828,1964,1893,614,920,632,702,879,597,360,380,40524,2576,0,24,257,510,1024,471,535,5174,294,570,4098,444,718,1015,9508,384,733,4021,1572,5329,946,191,130,21859,2761,36174,10877,25297,2100,654,295,32940,3602,730,13274,2122,556,11667,150,32329,1132,44852
2016,90007,8600000US90007,ZCTA5 90007,41979,22485,20802,968,1022,989,560,1762,1306,1623,3013,2368,1576,915,892,825,759,717,186,271,152,254,276,178,92,98,21177,655,984,909,467,2267,1538,1593,2501,2116,1125,805,900,936,891,975,194,378,275,299,405,421,247,296,19822,1164,11,0,91,202,323,248,286,1728,208,400,874,438,435,637,3966,224,412,2447,740,3441,1272,112,163,18136,5359,18185,5090,13095,2032,590,218,13402,2062,1053,12305,4360,230,8406,167,15325,1186,20939
2016,90008,8600000US90008,ZCTA5 90008,32060,36134,14038,769,896,776,680,284,279,218,614,812,810,927,788,1157,1080,995,376,556,309,220,346,361,506,279,18022,942,513,715,527,435,145,176,648,1227,1249,1053,1164,1284,1374,1740,557,663,375,703,872,738,456,466,23443,261,16,20,0,102,91,112,259,619,0,338,282,347,679,879,4422,455,1168,4703,2034,3514,2434,442,266,17504,8624,5623,2332,3291,8275,1408,1513,5098,419,368,5590,21051,101,990,48,2982,1298,7916
2016,90010,8600000US90010,ZCTA5 90010,3524,47569,1773,12,0,40,6,2,39,0,154,327,126,210,71,172,103,103,72,53,42,36,54,132,0,19,1751,47,11,11,25,64,73,21,100,215,244,77,113,94,98,159,58,48,26,33,97,62,62,13,2919,43,0,0,0,10,45,17,0,0,22,0,49,10,9,0,453,12,78,449,210,1129,257,63,63,695,551,2270,1140,1130,460,214,77,1953,793,207,665,199,10,2436,0,171,43,373
2016,90011,8600000US90011,ZCTA5 90011,104762,31684,52020,4453,4905,4461,2723,1900,1053,807,2542,4450,4194,4159,4166,3492,2685,2272,596,875,370,530,541,349,300,197,52742,5006,4746,4378,3118,1873,998,864,2882,4026,4081,3469,3937,3089,3059,2257,693,869,558,629,738,670,472,330,58053,4078,49,113,502,971,2277,1045,1550,9185,1360,2133,5924,1792,2452,2647,11660,736,1316,4830,1355,1604,378,88,8,51831,3395,49162,9454,39708,2563,123,49,43859,646,183,37997,8979,1048,571,144,54842,1181,94383
2016,90012,8600000US90012,ZCTA5 90012,32543,32712,19922,419,400,586,272,472,426,441,1464,2959,2658,1990,1762,1268,1203,781,316,494,296,307,285,548,281,294,12621,558,517,338,241,205,173,122,626,1895,894,948,570,674,645,670,296,270,367,430,513,562,570,537,25283,1360,27,3,126,124,134,183,490,1156,350,520,966,744,1332,1106,3961,741,876,2937,1026,4708,1447,735,231,13527,4504,13969,6930,7039,3919,1032,701,12634,2061,862,9438,4074,188,13329,61,4385,1068,9195
2016,90013,8600000US90013,ZCTA5 90013,11668,22058,7315,165,16,14,0,12,37,15,225,936,781,756,661,842,651,856,268,382,83,186,183,46,84,116,4353,83,46,0,0,2,1,0,292,717,684,293,369,338,321,315,88,120,44,102,59,150,186,143,10760,166,0,0,0,0,13,0,58,199,59,90,173,185,496,454,1733,252,330,1830,547,2850,969,145,211,4771,4424,2348,1346,1002,4180,1513,484,2320,625,366,4349,3522,125,1935,35,773,929,1777
2016,90014,8600000US90014,ZCTA5 90014,7191,23580,4447,31,0,0,27,18,0,73,130,572,829,419,384,391,270,389,96,109,148,169,141,175,60,16,2744,55,7,26,0,0,11,0,72,585,328,252,214,108,158,98,142,62,64,85,153,80,104,140,6741,85,0,0,7,21,39,0,47,159,26,35,155,117,377,132,729,138,244,893,606,2058,476,276,121,2300,2784,1941,976,965,2633,925,380,1914,561,227,3673,1293,50,1065,31,609,470,1242
2016,90015,8600000US90015,ZCTA5 90015,19378,30463,9720,639,571,547,275,318,238,54,527,939,982,1156,814,725,451,350,135,249,156,140,256,61,109,28,9658,617,520,612,374,419,230,151,537,949,1048,820,679,446,460,389,202,166,136,142,167,292,195,107,12749,591,0,0,121,190,245,128,173,960,183,307,598,137,508,451,1446,243,295,1484,720,2649,699,423,198,7870,2119,9194,3065,6129,1706,746,426,8350,1141,485,6614,1430,241,3012,20,7650,411,12369
2016,90016,8600000US90016,ZCTA5 90016,47079,41140,22515,1383,1426,1457,1029,632,327,366,1166,2393,1610,1513,2047,1405,1427,1268,414,599,407,323,584,372,162,205,24564,1301,1125,1496,824,494,297,429,1156,1816,1910,1711,2321,1730,1609,1607,569,924,446,606,910,396,443,444,32171,1247,0,15,31,205,429,99,548,1489,216,655,829,347,684,1279,6876,524,1527,6427,2183,4391,1634,340,196,23934,7373,15566,7073,8493,6876,1375,903,14455,1144,366,17288,16197,345,1627,0,9950,1672,24994
2016,90017,8600000US90017,ZCTA5 90017,25772,25143,13865,878,826,901,452,257,237,170,952,1690,1693,1546,1084,658,704,531,120,244,119,165,261,186,76,115,11907,825,643,669,378,437,285,322,809,1417,1140,855,906,625,419,608,197,232,94,139,270,281,192,164,16731,1094,0,0,109,364,598,613,350,1766,244,380,796,283,348,517,2279,203,588,1107,600,3029,825,398,240,9038,2354,14143,3237,10906,1895,662,384,12034,1373,670,8822,1372,483,3880,23,10655,537,17212
