zcta5,year,amenity_type_raw,amenity_type,est,emp_1_4,emp_5_9,emp_10_19,emp_20_49,emp_50_99,emp_100_249,emp_250_499,emp_500_999,emp_1000_plus,amenity_employee_bucket_total,amenity_est_bucket_gap,amenity_source_rows
90001,2012,Coffee Shops,coffee_shops,5,3,0,2,0,0,0,0,0,0,5,0,1
90001,2012,Resturants,restaurants,12,8,1,2,1,0,0,0,0,0,12,0,1
90001,2013,Coffee Shops,coffee_shops,6,3,1,1,1,0,0,0,0,0,6,0,1
90001,2013,Resturants,restaurants,11,7,2,1,1,0,0,0,0,0,11,0,1
90001,2014,Coffee Shops,coffee_shops,9,6,1,1,1,0,0,0,0,0,9,0,1
90001,2014,Resturants,restaurants,11,5,4,1,1,0,0,0,0,0,11,0,1
90001,2015,Coffee Shops,coffee_shops,8,3,2,3,0,0,0,0,0,0,8,0,1
90001,2015,Resturants,restaurants,11,7,1,1,2,0,0,0,0,0,11,0,1
90001,2016,Coffee Shops,coffee_shops,8,3,2,3,0,0,0,0,0,0,8,0,1
90001,2016,Resturants,restaurants,11,6,3,0,2,0,0,0,0,0,11,0,1
90001,2017,Coffee Shops,coffee_shops,8,4,0,0,0,0,0,0,0,0,4,4,1
90001,2017,Resturants,restaurants,11,6,3,0,0,0,0,0,0,0,9,2,1
90001,2018,Coffee Shops,coffee_shops,9,5,0,0,0,0,0,0,0,0,5,4,1
90001,2018,Resturants,restaurants,10,7,0,0,0,0,0,0,0,0,7,3,1
90001,2019,Coffee Shops,coffee_shops,10,6,0,0,0,0,0,0,0,0,6,4,1
90001,2019,Resturants,restaurants,11,4,5,0,0,0,0,0,0,0,9,2,1
90001,2020,Coffee Shops,coffee_shops,10,5,0,3,0,0,0,0,0,0,8,2,1
90001,2020,Resturants,restaurants,14,6,6,0,0,0,0,0,0,0,12,2,1
90001,2021,Coffee Shops,coffee_shops,9,5,0,3,0,0,0,0,0,0,8,1,1
90001,2021,Resturants,restaurants,11,7,3,0,0,0,0,0,0,0,10,1,1
90001,2022,Coffee Shops,coffee_shops,11,5,0,3,0,0,0,0,0,0,8,3,1
90001,2022,Resturants,restaurants,12,5,3,4,0,0,0,0,0,0,12,0,1
90001,2023,Coffee Shops,coffee_shops,10,3,3,3,0,0,0,0,0,0,9,1,1
90001,2023,Resturants,restaurants,15,8,3,4,0,0,0,0,0,0,15,0,1
90002,2012,Resturants,restaurants,1,0,1,0,0,0,0,0,0,0,1,0,1
90002,2013,Coffee Shops,coffee_shops,1,1,0,0,0,0,0,0,0,0,1,0,1
90002,2013,Resturants,restaurants,1,0,1,0,0,0,0,0,0,0,1,0,1
90002,2014,Coffee Shops,coffee_shops,1,1,0,0,0,0,0,0,0,0,1,0,1
90002,2014,Resturants,restaurants,1,0,1,0,0,0,0,0,0,0,1,0,1
90002,2015,Coffee Shops,coffee_shops,2,1,1,0,0,0,0,0,0,0,2,0,1
90002,2015,Resturants,restaurants,1,0,1,0,0,0,0,0,0,0,1,0,1
90002,2016,Coffee Shops,coffee_shops,2,2,0,0,0,0,0,0,0,0,2,0,1
90002,2016,Resturants,restaurants,2,1,1,0,0,0,0,0,0,0,2,0,1
90002,2018,Coffee Shops,coffee_shops,3,3,0,0,0,0,0,0,0,0,3,0,1
90002,2019,Coffee Shops,coffee_shops,3,0,0,0,0,0,0,0,0,0,0,3,1
90002,2020,Coffee Shops,coffee_shops,3,0,0,0,0,0,0,0,0,0,0,3,1
90002,2021,Coffee Shops,coffee_shops,4,3,0,0,0,0,0,0,0,0,3,1,1
90002,2022,Coffee Shops,coffee_shops,4,0,0,0,0,0,0,0,0,0,0,4,1
90002,2022,Resturants,restaurants,3,0,0,0,0,0,0,0,0,0,0,3,1
90002,2023,Coffee Shops,coffee_shops,7,0,0,3,0,0,0,0,0,0,3,4,1
90003,2012,Coffee Shops,coffee_shops,5,3,0,2,0,0,0,0,0,0,5,0,1
90003,2012,Resturants,restaurants,4,2,1,1,0,0,0,0,0,0,4,0,1
90003,2013,Coffee Shops,coffee_shops,7,5,0,2,0,0,0,0,0,0,7,0,1
90003,2013,Resturants,restaurants,3,2,0,1,0,0,0,0,0,0,3,0,1
90003,2014,Coffee Shops,coffee_shops,5,3,0,2,0,0,0,0,0,0,5,0,1
90003,2014,Resturants,restaurants,3,2,0,1,0,0,0,0,0,0,3,0,1
90003,2015,Coffee Shops,coffee_shops,5,3,0,2,0,0,0,0,0,0,5,0,1
90003,2015,Resturants,restaurants,3,0,1,2,0,0,0,0,0,0,3,0,1
90003,2016,Coffee Shops,coffee_shops,5,3,0,2,0,0,0,0,0,0,5,0,1
90003,2016,Resturants,restaurants,4,1,3,0,0,0,0,0,0,0,4,0,1
90003,2017,Coffee Shops,coffee_shops,6,3,0,0,0,0,0,0,0,0,3,3,1
90003,2017,Resturants,restaurants,3,0,0,3,0,0,0,0,0,0,3,0,1
90003,2018,Coffee Shops,coffee_shops,7,5,0,0,0,0,0,0,0,0,5,2,1
90003,2018,Resturants,restaurants,3,0,0,0,0,0,0,0,0,0,0,3,1
90003,2019,Coffee Shops,coffee_shops,8,6,0,0,0,0,0,0,0,0,6,2,1
90003,2019,Resturants,restaurants,3,0,0,0,0,0,0,0,0,0,0,3,1
90003,2020,Coffee Shops,coffee_shops,9,6,0,0,0,0,0,0,0,0,6,3,1
90003,2020,Resturants,restaurants,4,0,3,0,0,0,0,0,0,0,3,1,1
90003,2021,Coffee Shops,coffee_shops,8,5,0,0,0,0,0,0,0,0,5,3,1
90003,2021,Resturants,restaurants,5,0,3,0,0,0,0,0,0,0,3,2,1
90003,2022,Coffee Shops,coffee_shops,6,4,0,0,0,0,0,0,0,0,4,2,1
90003,2022,Resturants,restaurants,6,0,3,0,0,0,0,0,0,0,3,3,1
90003,2023,Coffee Shops,coffee_shops,6,4,0,0,0,0,0,0,0,0,4,2,1
90003,2023,Resturants,restaurants,8,3,3,0,0,0,0,0,0,0,6,2,1
90004,2012,Coffee Shops,coffee_shops,16,6,3,7,0,0,0,0,0,0,16,0,1
90004,2012,Fitness,fitness,6,4,0,0,2,0,0,0,0,0,6,0,1
90004,2012,Resturants,restaurants,54,27,8,7,9,3,0,0,0,0,54,0,1
90004,2013,Coffee Shops,coffee_shops,15,4,2,9,0,0,0,0,0,0,15,0,1
90004,2013,Fitness,fitness,5,2,1,1,1,0,0,0,0,0,5,0,1
90004,2013,Resturants,restaurants,56,26,11,10,7,2,0,0,0,0,56,0,1
90004,2014,Coffee Shops,coffee_shops,17,6,3,8,0,0,0,0,0,0,17,0,1
90004,2014,Fitness,fitness,6,2,1,1,2,0,0,0,0,0,6,0,1
90004,2014,Resturants,restaurants,51,21,10,10,9,0,1,0,0,0,51,0,1
90004,2015,Coffee Shops,coffee_shops,17,4,3,7,3,0,0,0,0,0,17,0,1
90004,2015,Fitness,fitness,7,5,0,0,2,0,0,0,0,0,7,0,1
90004,2015,Resturants,restaurants,59,22,16,11,8,2,0,0,0,0,59,0,1
90004,2016,Coffee Shops,coffee_shops,19,6,2,6,5,0,0,0,0,0,19,0,1
90004,2016,Fitness,fitness,4,2,0,0,2,0,0,0,0,0,4,0,1
90004,2016,Resturants,restaurants,58,19,12,14,10,3,0,0,0,0,58,0,1
90004,2017,Coffee Shops,coffee_shops,17,3,0,8,5,0,0,0,0,0,16,1,1
90004,2017,Fitness,fitness,4,3,0,0,0,0,0,0,0,0,3,1,1
90004,2017,Resturants,restaurants,58,21,13,12,9,3,0,0,0,0,58,0,1
90004,2018,Coffee Shops,coffee_shops,22,5,0,11,3,0,0,0,0,0,19,3,1
90004,2018,Fitness,fitness,4,0,0,0,0,0,0,0,0,0,0,4,1
90004,2018,Resturants,restaurants,64,24,15,12,10,3,0,0,0,0,64,0,1
90004,2019,Coffee Shops,coffee_shops,25,3,9,9,4,0,0,0,0,0,25,0,1
90004,2019,Fitness,fitness,5,3,0,0,0,0,0,0,0,0,3,2,1
90004,2019,Resturants,restaurants,66,29,8,16,9,4,0,0,0,0,66,0,1
90004,2020,Coffee Shops,coffee_shops,21,0,6,6,7,0,0,0,0,0,19,2,1
90004,2020,Fitness,fitness,5,3,0,0,0,0,0,0,0,0,3,2,1
90004,2020,Resturants,restaurants,66,27,15,13,9,0,0,0,0,0,64,2,1
90004,2021,Coffee Shops,coffee_shops,23,5,7,7,4,0,0,0,0,0,23,0,1
90004,2021,Fitness,fitness,5,4,0,0,0,0,0,0,0,0,4,1,1
90004,2021,Resturants,restaurants,63,30,18,12,0,0,0,0,0,0,60,3,1
90004,2022,Coffee Shops,coffee_shops,27,5,8,9,5,0,0,0,0,0,27,0,1
90004,2022,Fitness,fitness,4,0,0,0,0,0,0,0,0,0,0,4,1
90004,2022,Resturants,restaurants,62,21,17,12,9,3,0,0,0,0,62,0,1
90004,2023,Coffee Shops,coffee_shops,28,6,7,8,7,0,0,0,0,0,28,0,1
90004,2023,Fitness,fitness,4,0,0,0,0,0,0,0,0,0,0,4,1
