city,county,year,minimum_wage_year_start,minimum_wage_annual_avg,ordinance_type,minimum_wage_backfilled,minimum_wage_source_detail
Alameda,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Alameda,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Alameda,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Alameda,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Alameda,Alameda,2016,10.0,10.0,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2017,10.5,10.5,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2018,11.0,11.0,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2019,13.5,13.5,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2020,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2021,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2022,15.75,15.75,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2023,16.52,16.52,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2024,17.0,17.0,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2025,17.46,17.46,City Ordinance,False,input_minimum_wage_updated
Alameda,Alameda,2026,17.9,17.9,City Ordinance,False,input_minimum_wage_updated
Albany,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Albany,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Albany,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Albany,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Albany,Alameda,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Albany,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Albany,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Albany,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Albany,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Berkeley,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Berkeley,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Berkeley,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Berkeley,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Berkeley,Alameda,2016,10.0,10.0,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2017,10.5,10.5,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2018,11.0,11.0,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2019,12.0,12.0,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2020,13.0,13.0,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2021,14.0,14.0,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2022,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2023,15.5,15.5,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2024,18.67,18.67,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2025,19.18,19.18,City Ordinance,False,input_minimum_wage_updated
Berkeley,Alameda,2026,19.61,19.61,City Ordinance,False,input_minimum_wage_updated
Dublin,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Dublin,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Dublin,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Dublin,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Dublin,Alameda,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Dublin,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Emeryville,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Emeryville,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Emeryville,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Emeryville,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Emeryville,Alameda,2016,13.0,13.0,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2017,14.0,14.0,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2018,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2019,16.3,16.3,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2020,16.84,16.84,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2021,17.13,17.13,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2022,17.68,17.68,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2023,18.67,18.67,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2024,19.36,19.36,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2025,19.9,19.9,City Ordinance,False,input_minimum_wage_updated
Emeryville,Alameda,2026,20.34,20.34,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Fremont,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Fremont,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Fremont,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Fremont,Alameda,2016,10.0,10.0,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2017,10.5,10.5,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2018,11.0,11.0,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2019,13.5,13.5,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2020,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2021,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2022,16.0,16.0,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2023,16.8,16.8,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2024,17.3,17.3,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2025,17.75,17.75,City Ordinance,False,input_minimum_wage_updated
Fremont,Alameda,2026,18.05,18.05,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Hayward,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Hayward,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Hayward,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Hayward,Alameda,2016,10.0,10.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2017,10.5,10.5,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2018,11.0,11.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2019,12.0,12.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2020,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2021,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2022,15.0,15.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2023,16.0,16.0,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2024,16.9,16.9,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2025,17.36,17.36,City Ordinance,False,input_minimum_wage_updated
Hayward,Alameda,2026,17.79,17.79,City Ordinance,False,input_minimum_wage_updated
Livermore,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Livermore,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Livermore,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Livermore,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Livermore,Alameda,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Livermore,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Newark,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Newark,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Newark,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Newark,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Newark,Alameda,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Newark,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Newark,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Newark,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Newark,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Oakland,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Oakland,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Oakland,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Oakland,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Oakland,Alameda,2016,10.0,10.0,City Ordinance,False,input_minimum_wage_updated
Oakland,Alameda,2017,10.5,10.5,City Ordinance,False,input_minimum_wage_updated
Oakland,Alameda,2018,11.0,11.0,City Ordinance,False,input_minimum_wage_updated
Oakland,Alameda,2019,12.0,12.0,City Ordinance,False,input_minimum_wage_updated
Oakland,Alameda,2020,13.0,13.0,City Ordinance,False,input_minimum_wage_updated
Oakland,Alameda,2021,14.0,14.0,City Ordinance,False,input_minimum_wage_updated
