zcta5,year,assessment_type,is_caaspp,is_cst,school_year_complete,n_schools,avg_pct_met_ela,avg_pct_met_math,avg_pct_met_overall,median_pct_met_overall,min_pct_met_overall,max_pct_met_overall,overall_score_range,total_students_tested,total_students_tested_reported_positive,total_students_tested_unreliable,school_quality_extended_eligible
90001,2012,CST,False,True,True,16,33.81,48.34,37.04,41.62,12.42,57.15,44.73,15303,True,False,True
90001,2013,CST,False,True,True,17,35.71,49.34,39.46,41.0,19.5,62.4,42.9,15136,True,False,True
90001,2014,INTERPOLATED,False,False,False,18,34.36,41.06,36.17,37.5,19.5,51.95,32.45,7568,True,False,True
90001,2015,CAASPP,True,False,True,18,33.0,32.78,32.89,34.0,19.5,41.5,22.0,0,False,True,True
90001,2016,CAASPP,True,False,True,17,34.35,33.71,34.03,33.5,22.0,49.0,27.0,0,False,True,True
90001,2017,CAASPP,True,False,True,18,33.67,32.35,33.01,32.77,21.01,42.18,21.169999999999998,0,False,True,True
90001,2018,CAASPP,True,False,True,18,35.36,35.12,35.24,36.16,23.06,44.34,21.280000000000005,0,False,True,True
90001,2019,CAASPP,True,False,True,18,37.78,35.3,36.54,37.17,22.39,43.78,21.39,0,False,True,True
90001,2020,INTERPOLATED,False,False,False,12,40.92,32.55,36.73,36.64,26.74,43.41,16.669999999999998,0,False,True,True
90001,2021,CAASPP,True,False,True,5,44.05,29.8,36.92,36.11,31.08,43.04,11.96,0,False,True,True
90001,2022,CAASPP,True,False,True,19,34.64,28.77,31.71,33.01,22.06,39.9,17.84,0,False,True,True
90001,2023,CAASPP,True,False,True,19,34.15,31.48,32.82,33.1,23.26,41.9,18.639999999999997,0,False,True,True
90001,2024,CAASPP,True,False,True,19,35.46,30.85,33.15,34.03,23.8,40.62,16.819999999999997,0,False,True,True
90002,2012,CST,False,True,True,12,29.27,48.95,32.77,28.96,4.56,66.46,61.89999999999999,8760,True,False,True
90002,2013,CST,False,True,True,13,28.14,49.67,33.21,32.71,6.67,63.19,56.519999999999996,8446,True,False,True
90002,2014,INTERPOLATED,False,False,False,12,27.61,38.34,29.88,30.36,10.84,51.34,40.5,4223,True,False,True
90002,2015,CAASPP,True,False,True,12,27.08,27.0,26.54,28.0,15.0,39.5,24.5,0,False,True,True
90002,2016,CAASPP,True,False,True,13,32.08,28.33,30.38,31.5,14.5,40.0,25.5,0,False,True,True
90002,2017,CAASPP,True,False,True,12,30.89,31.59,30.91,31.86,23.16,38.59,15.430000000000003,0,False,True,True
90002,2018,CAASPP,True,False,True,12,32.99,29.03,31.01,30.68,10.68,42.86,32.18,0,False,True,True
90002,2019,CAASPP,True,False,True,13,31.86,33.06,31.78,29.89,15.38,48.89,33.51,0,False,True,True
90002,2020,INTERPOLATED,False,False,False,7,27.78,29.68,28.4,27.45,20.2,36.95,16.750000000000004,0,False,True,True
90002,2021,CAASPP,True,False,True,1,23.71,26.31,25.01,25.01,25.01,25.01,0.0,0,False,True,True
90002,2022,CAASPP,True,False,True,11,28.93,27.94,28.43,27.78,16.8,40.84,24.040000000000003,0,False,True,True
90002,2023,CAASPP,True,False,True,12,29.46,28.98,29.05,29.37,19.15,38.19,19.04,0,False,True,True
90002,2024,CAASPP,True,False,True,11,32.09,32.28,32.19,35.52,19.29,43.63,24.340000000000003,0,False,True,True
90003,2012,CST,False,True,True,19,39.39,51.21,43.07,47.34,5.92,72.98,67.06,17414,True,False,True
90003,2013,CST,False,True,True,22,38.6,52.06,42.06,44.71,4.63,96.5,91.87,17846,True,False,True
90003,2014,INTERPOLATED,False,False,False,22,35.04,41.96,36.6,37.11,7.32,77.75,70.43,8923,True,False,True
90003,2015,CAASPP,True,False,True,21,31.48,31.85,31.14,29.5,10.0,59.0,49.0,0,False,True,True
90003,2016,CAASPP,True,False,True,21,34.19,33.76,33.98,33.0,21.5,56.0,34.5,0,False,True,True
90003,2017,CAASPP,True,False,True,22,35.37,33.45,34.4,32.98,26.72,44.87,18.15,0,False,True,True
90003,2018,CAASPP,True,False,True,22,35.27,33.13,34.2,34.97,13.64,51.74,38.1,0,False,True,True
90003,2019,CAASPP,True,False,True,20,37.42,38.2,37.81,37.13,19.26,53.64,34.379999999999995,0,False,True,True
90003,2020,INTERPOLATED,False,False,False,12,37.42,31.55,34.48,34.33,23.25,44.0,20.75,0,False,True,True
90003,2021,CAASPP,True,False,True,4,37.41,24.9,31.16,31.52,27.24,34.35,7.110000000000003,0,False,True,True
90003,2022,CAASPP,True,False,True,21,33.77,30.38,32.08,32.84,16.5,43.38,26.880000000000003,0,False,True,True
90003,2023,CAASPP,True,False,True,21,32.8,33.27,32.73,32.32,20.34,43.34,23.000000000000004,0,False,True,True
90003,2024,CAASPP,True,False,True,21,33.56,33.51,33.27,33.01,22.22,46.88,24.660000000000004,0,False,True,True
90004,2012,CST,False,True,True,12,55.5,69.8,59.22,64.53,9.11,89.18,80.07000000000001,10614,True,False,True
90004,2013,CST,False,True,True,12,53.6,70.59,58.98,61.58,8.98,89.13,80.14999999999999,10292,True,False,True
90004,2014,INTERPOLATED,False,False,False,14,46.46,55.46,49.4,51.29,13.49,73.32,59.82999999999999,5146,True,False,True
90004,2015,CAASPP,True,False,True,15,39.33,40.33,39.83,41.0,18.0,57.5,39.5,0,False,True,True
90004,2016,CAASPP,True,False,True,15,41.87,41.13,41.5,42.0,20.5,58.5,38.0,0,False,True,True
90004,2017,CAASPP,True,False,True,15,41.3,43.95,41.46,41.99,9.09,56.56,47.47,0,False,True,True
90004,2018,CAASPP,True,False,True,15,44.37,43.57,43.97,44.26,14.04,61.63,47.59,0,False,True,True
90004,2019,CAASPP,True,False,True,15,46.24,48.29,47.26,47.09,34.18,61.83,27.65,0,False,True,True
90004,2020,INTERPOLATED,False,False,False,9,47.6,45.7,46.64,46.66,37.06,56.88,19.82,0,False,True,True
90004,2021,CAASPP,True,False,True,3,48.95,43.1,46.02,46.22,39.94,51.92,11.980000000000004,0,False,True,True
90004,2022,CAASPP,True,False,True,15,48.18,42.84,45.51,46.04,33.34,70.24,36.89999999999999,0,False,True,True
90004,2023,CAASPP,True,False,True,15,49.13,46.05,47.59,46.88,37.22,75.09,37.870000000000005,0,False,True,True
90004,2024,CAASPP,True,False,True,15,46.34,47.71,47.02,44.26,37.92,74.03,36.11,0,False,True,True
90005,2012,CST,False,True,True,11,48.31,50.12,47.93,45.7,28.75,70.05,41.3,10043,True,False,True
90005,2013,CST,False,True,True,11,47.63,52.61,48.82,45.6,31.25,66.69,35.44,9819,True,False,True
90005,2014,INTERPOLATED,False,False,False,12,42.15,45.8,43.32,42.18,30.62,55.34,24.720000000000002,4910,True,False,True
90005,2015,CAASPP,True,False,True,12,36.67,39.0,37.83,38.75,30.0,44.0,14.0,0,False,True,True
90005,2016,CAASPP,True,False,True,12,41.83,39.83,40.83,42.25,30.5,50.0,19.5,0,False,True,True
90005,2017,CAASPP,True,False,True,12,38.36,38.15,38.26,38.64,28.76,49.7,20.94,0,False,True,True
90005,2018,CAASPP,True,False,True,12,38.69,38.49,38.59,38.9,28.78,52.38,23.6,0,False,True,True
90005,2019,CAASPP,True,False,True,12,39.56,38.94,39.25,40.35,30.2,51.66,21.459999999999997,0,False,True,True
90005,2020,INTERPOLATED,False,False,False,8,40.35,34.68,37.8,38.67,28.49,46.82,18.330000000000002,0,False,True,True
90005,2021,CAASPP,True,False,True,5,41.14,30.42,36.36,37.0,26.78,41.97,15.189999999999998,0,False,True,True
90005,2022,CAASPP,True,False,True,12,39.68,33.75,36.72,32.45,24.23,52.64,28.41,0,False,True,True
90005,2023,CAASPP,True,False,True,12,39.9,34.19,37.04,33.39,26.12,52.38,26.26,0,False,True,True
90005,2024,CAASPP,True,False,True,12,41.06,37.22,39.14,36.14,29.39,56.58,27.189999999999998,0,False,True,True
90006,2012,CST,False,True,True,6,47.43,56.21,51.82,53.28,40.06,63.08,23.019999999999996,6346,True,False,True
90006,2013,CST,False,True,True,6,44.22,58.56,51.39,52.75,37.71,61.35,23.64,5858,True,False,True
90006,2014,INTERPOLATED,False,False,False,6,38.31,46.98,42.64,43.62,33.86,49.68,15.82,2929,True,False,True
90006,2015,CAASPP,True,False,True,5,32.4,35.4,33.9,34.5,30.0,38.0,8.0,0,False,True,True
90006,2016,CAASPP,True,False,True,5,31.6,34.8,33.2,35.0,26.5,38.5,12.0,0,False,True,True
90006,2017,CAASPP,True,False,True,5,34.45,33.84,34.15,37.16,26.95,39.52,12.570000000000004,0,False,True,True
90006,2018,CAASPP,True,False,True,6,36.08,32.87,34.48,34.14,30.29,43.26,12.969999999999999,0,False,True,True
90006,2019,CAASPP,True,False,True,6,36.73,34.35,35.54,35.39,27.97,40.3,12.329999999999998,0,False,True,True
90006,2020,INTERPOLATED,False,False,False,4,43.58,38.42,41.0,40.92,37.22,43.38,6.160000000000004,0,False,True,True
90006,2021,CAASPP,True,False,True,1,50.42,42.5,46.46,46.46,46.46,46.46,0.0,0,False,True,True
90006,2022,CAASPP,True,False,True,7,36.45,34.06,35.25,35.61,28.68,43.24,14.560000000000002,0,False,True,True
90006,2023,CAASPP,True,False,True,7,35.06,34.34,34.7,34.06,28.73,46.79,18.06,0,False,True,True
90006,2024,CAASPP,True,False,True,7,35.16,33.95,34.55,33.0,28.66,42.74,14.080000000000002,0,False,True,True
90007,2012,CST,False,True,True,17,43.56,49.52,45.11,46.29,6.85,68.37,61.52,14406,True,False,True
90007,2013,CST,False,True,True,17,42.36,48.87,44.62,45.58,12.18,69.6,57.419999999999995,14048,True,False,True
90007,2014,INTERPOLATED,False,False,False,16,37.83,41.26,39.04,39.79,17.34,56.55,39.209999999999994,7024,True,False,True
