zcta5,county_fips,county,zcta_county_area_share,zcta_county_count,county_rank_in_zcta,is_dominant_county,dominant_county_share,zcta_county_assignment_quality
89010,06051,Mono,1.0,1,1,True,1.0,single_county
89019,06071,San Bernardino,0.9598978075537699,2,1,True,0.9598978075537699,dominant_county_ge_80pct
89019,06027,Inyo,0.040102192446230166,2,2,False,0.9598978075537699,dominant_county_ge_80pct
89060,06027,Inyo,1.0,1,1,True,1.0,single_county
89061,06027,Inyo,1.0,1,1,True,1.0,single_county
89439,06091,Sierra,1.0,1,1,True,1.0,single_county
90001,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90002,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90003,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90004,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90005,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90006,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90007,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90008,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90010,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90011,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90012,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90013,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90014,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90015,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90016,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90017,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90018,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90019,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90020,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90021,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90022,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90023,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90024,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90025,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90026,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90027,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90028,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90029,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90031,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90032,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90033,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90034,06037,Los Angeles,1.0,1,1,True,1.0,single_county
90035,06037,Los Angeles,1.0,1,1,True,1.0,single_county
