model,feature,source_group,max_abs_coefficient,sum_abs_coefficient,coefficient_terms
ols_linear_regression,parent_metro_region,listings,0.1695511429348716,0.6900928016390893,36
ols_linear_regression,assessment_type,school_quality,0.14968288311656858,0.19586541754622344,2
ols_linear_regression,total_students_tested_unreliable,school_quality,0.12384871394542427,0.12384871394542427,1
ols_linear_regression,school_year_complete,school_quality,0.046182534429653,0.046182534429653,1
ols_linear_regression,foreign_born_noncitizen_derived,demographics,0.035115646859482263,0.035115646859482263,1
ols_linear_regression,annual_sold_above_list,listings,0.018626602585693965,0.018626602585693965,1
ols_linear_regression,annual_avg_sale_to_list,listings,0.017282557304176743,0.017282557304176743,1
ols_linear_regression,annual_median_sale_price,listings,0.014899157594801387,0.014899157594801387,1
ols_linear_regression,annual_median_ppsf,listings,0.012916441258141058,0.012916441258141058,1
ols_linear_regression,minimum_wage_for_model_annual_avg,minimum_wage,0.012300505500130872,0.012300505500130872,1
ols_linear_regression,education_bachelors_or_higher_share,demographics,0.012277574340514883,0.012277574340514883,1
ols_linear_regression,education_less_than_high_school_share,demographics,0.012145565216644217,0.012145565216644217,1
ols_linear_regression,annual_homes_sold,listings,0.010799103675121583,0.010799103675121583,1
ols_linear_regression,amenity_per_10k_restaurants,amenities,0.009939843366199422,0.009939843366199422,1
ols_linear_regression,annual_off_market_in_two_weeks,listings,0.009008457367226651,0.009008457367226651,1
ols_linear_regression,annual_inventory_mean,listings,0.008986115136347108,0.008986115136347108,1
ols_linear_regression,hispanic_or_latino_total_share,other,0.008716825411223114,0.008716825411223114,1
ols_linear_regression,full_year_coverage,listings,0.00829949510266441,0.00829949510266441,1
ols_linear_regression,education_some_college_or_associates_share,demographics,0.007506476225086215,0.007506476225086215,1
ols_linear_regression,median_household_income_missing,demographics,0.006724488560682897,0.006724488560682897,1
ols_linear_regression,zcta_county_assignment_quality,minimum_wage,0.006477313308133319,0.010337982018185313,2
ols_linear_regression,minimum_wage_imputed,minimum_wage,0.00604318620685101,0.00604318620685101,1
ols_linear_regression,annual_months_of_supply_est,listings,0.005377518677439278,0.005377518677439278,1
ols_linear_regression,avg_pct_met_overall_z_assessment_year,school_quality,0.0050518881330543115,0.0050518881330543115,1
ols_linear_regression,born_other_state_25plus_bachelors_or_higher_share,demographics,0.004814479377876475,0.004814479377876475,1
ols_linear_regression,log_total_population,demographics,0.004474011968959405,0.004474011968959405,1
ols_linear_regression,race_two_or_more_share,demographics,0.004365516937560876,0.004365516937560876,1
ols_linear_regression,amenity_per_10k_coffee_shops,amenities,0.0041433487607662935,0.0041433487607662935,1
ols_linear_regression,foreign_born_25plus_bachelors_or_higher_share,demographics,0.00396356424067176,0.00396356424067176,1
ols_linear_regression,native_born_other_state_us_share,demographics,0.003906063894777021,0.003906063894777021,1
ols_linear_regression,months_observed,listings,0.0038204887497869516,0.0038204887497869516,1
ols_linear_regression,log_median_household_income,demographics,0.0037486413524711864,0.0037486413524711864,1
ols_linear_regression,amenity_per_10k_parks,amenities,0.0031964886907195557,0.0031964886907195557,1
ols_linear_regression,annual_median_dom,listings,0.003140299100463422,0.003140299100463422,1
ols_linear_regression,race_asian_alone_share,demographics,0.0031218975337145224,0.0031218975337145224,1
ols_linear_regression,age_0_17_share,demographics,0.0028496970418903844,0.0028496970418903844,1
ols_linear_regression,male_share,demographics,0.002801350392941864,0.002801350392941864,1
ols_linear_regression,crime_violent_est_per_1k,crime,0.002521515403852038,0.002521515403852038,1
ols_linear_regression,race_some_other_race_alone_share,demographics,0.00252044578238279,0.00252044578238279,1
ols_linear_regression,amenity_type_count,amenities,0.00214158302922627,0.00214158302922627,1
ols_linear_regression,foreign_born_total_share,demographics,0.0021064904848199515,0.0021064904848199515,1
ols_linear_regression,crime_property_est_per_1k,crime,0.002022658258635311,0.002022658258635311,1
ols_linear_regression,age_35_44_share,demographics,0.0015844786368469461,0.0015844786368469461,1
ols_linear_regression,age_18_24_share,demographics,0.0014477626952112497,0.0014477626952112497,1
ols_linear_regression,log1p_n_schools,school_quality,0.001438141576290272,0.001438141576290272,1
