model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ols_linear_regression,"categorical__parent_metro_region_Susanville, CA",-0.5160004897728939,0.5160004897728939,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Hanford, CA",-0.44653248434058185,0.44653248434058185,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_El Centro, CA",-0.4231946019423814,0.4231946019423814,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Bakersfield, CA",-0.38724033574770816,0.38724033574770816,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Fresno, CA",-0.3789856538772569,0.3789856538772569,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Merced, CA",-0.34985679241500883,0.34985679241500883,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Clearlake, CA",-0.31685714315050145,0.31685714315050145,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Visalia, CA",-0.29116823823893584,0.29116823823893584,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Chico, CA",-0.2890968861877473,0.2890968861877473,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Red Bluff, CA",-0.24587802391956776,0.24587802391956776,parent_metro_region,listings
ols_linear_regression,numeric__annual_median_sale_price,0.23371349939754404,0.23371349939754404,annual_median_sale_price,listings
ols_linear_regression,"categorical__parent_metro_region_Madera, CA",-0.22938210351259866,0.22938210351259866,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Riverside, CA",-0.22483877501353278,0.22483877501353278,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Modesto, CA",-0.22056657330222373,0.22056657330222373,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Sonora, CA",-0.21098171510899874,0.21098171510899874,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Redding, CA",-0.20366465629064534,0.20366465629064534,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Stockton, CA",-0.15904375132713386,0.15904375132713386,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_Sacramento, CA",-0.1572658821102981,0.1572658821102981,parent_metro_region,listings
