model,fold,validation_year,train_rows,validation_rows,ridge_alpha,mae_dollars,rmse_dollars,r2_dollars,mae_log_change,rmse_log_change,r2_log_change,mae_growth_pct_points,rmse_growth_pct_points,r2_growth_pct
ols_linear_regression,1,2017,5590,1146,,57453.74873317351,132450.4759595627,0.9370259273052362,0.07748140865517535,0.11321799821705059,-0.341602538335535,8.084040240488205,11.51760888255761,-0.40105251497280325
ols_linear_regression,2,2018,6736,1155,,40592.04682555605,90392.25861600098,0.9696491864614301,0.05622957662614523,0.09073243403566127,-0.10598997648932729,5.842999075292418,10.313982089120863,-0.06080409724493463
ols_linear_regression,3,2019,7891,1159,,86222.43939223983,152536.32852679558,0.9176758793733599,0.1255626661494358,0.15670294144941876,-0.9334045313844408,13.055492219056804,16.01184632614624,-1.2592115740651377
ols_linear_regression,4,2020,9050,1178,,110448.00773246084,191184.54066383364,0.9059271632547053,0.1324113484344326,0.15402572070833348,-1.741499924414006,14.820142348137907,17.62233293153529,-1.600522813624047
ols_linear_regression,5,2021,10228,1160,,70026.48776691496,112773.916398972,0.9686703962032578,0.08108587184421251,0.10958166768617474,-0.4282384445833314,8.868616420853828,11.589431916626811,-0.44242128902416344
ols_linear_regression,6,2022,11388,1142,,93770.25322598487,131165.2872070176,0.9566719238490273,0.11028769602509184,0.1321528505841695,-1.3679137631115346,11.33547692676422,13.434276918743292,-1.3506124779337396
ridge_linear_regression,1,2017,5590,1146,106.08183551394482,39460.9034238118,112909.16869929868,0.9542371404153805,0.05206966651260034,0.0985313656446357,-0.01611282217919885,5.500002490122611,9.763887532728358,-0.006874396409402461
ridge_linear_regression,2,2018,6736,1155,70.17038286703823,41743.758581176204,88542.43064889603,0.9708787012162854,0.05697926554355271,0.0907993902036983,-0.10762291349183895,5.930256793573493,10.320113961811757,-0.06206581152970325
ridge_linear_regression,3,2019,7891,1159,70.17038286703823,77095.46629286847,146124.06641621437,0.924451817380905,0.11047705068788209,0.14524972025614413,-0.6611124915739126,11.58337721385179,14.784199359739823,-0.9260594949714718
ridge_linear_regression,4,2020,9050,1178,242.44620170823308,105634.13611237497,183581.94185186864,0.913260160339394,0.12567423796231486,0.1473740792091439,-1.5098279324092259,14.138807174014275,16.989428612882232,-1.4170821443088317
ridge_linear_regression,5,2021,10228,1160,30.702906297578497,72996.05171713904,113810.38361201285,0.9680918700991156,0.08489011971827977,0.11266068879297776,-0.5096271999857995,9.307254295622037,11.933834846936294,-0.5294239024186191
ridge_linear_regression,6,2022,11388,1142,13.433993325989015,93712.25028577818,131052.43675439479,0.956746447980886,0.11045827107634956,0.13229367154089708,-1.3729629094877707,11.353025700298595,13.44110686092705,-1.3530031727894962
