feature,feature_kind,source_group,missing_rate,n_unique,selected,exclusion_reason,preprocessing_kind
amenity_per_10k_coffee_shops,numeric,amenities,0.1120866256950541,10153,True,,numeric
amenity_per_10k_fitness,numeric,amenities,0.1120866256950541,7633,True,,numeric
amenity_per_10k_parks,numeric,amenities,0.1120866256950541,273,True,,numeric
amenity_per_10k_restaurants,numeric,amenities,0.1120866256950541,11745,True,,numeric
amenity_type_count,numeric,amenities,0.110769681006731,4,True,,numeric
crime_property_est_per_1k,numeric,crime,0.0029997073456248,13414,True,,numeric
crime_violent_est_per_1k,numeric,crime,0.0029997073456248,13104,True,,numeric
age_0_17_share,numeric,demographics,0.0029997073456248,13540,True,,numeric
age_18_24_share,numeric,demographics,0.0029997073456248,13443,True,,numeric
age_25_34_share,numeric,demographics,0.0029997073456248,13499,True,,numeric
age_35_44_share,numeric,demographics,0.0029997073456248,13529,True,,numeric
age_45_64_share,numeric,demographics,0.0029997073456248,13576,True,,numeric
born_other_state_25plus_bachelors_or_higher_share,numeric,demographics,0.0038776704711735,13267,True,,numeric
demographics_baseline_eligible,categorical,demographics,0.0029997073456248,1,True,,boolean
education_bachelors_or_higher_share,numeric,demographics,0.0029997073456248,13576,True,,numeric
education_less_than_high_school_share,numeric,demographics,0.0029997073456248,13467,True,,numeric
education_some_college_or_associates_share,numeric,demographics,0.0029997073456248,13558,True,,numeric
foreign_born_25plus_bachelors_or_higher_share,numeric,demographics,0.0100965759438103,12791,True,,numeric
foreign_born_noncitizen_derived,categorical,demographics,0.0029997073456248,2,True,,boolean
foreign_born_noncitizen_share_of_foreign_born,numeric,demographics,0.0092917764120573,12913,True,,numeric
foreign_born_total_share,numeric,demographics,0.0029997073456248,13524,True,,numeric
log_median_household_income,numeric,demographics,0.0088527948492829,12426,True,,numeric
log_total_population,numeric,demographics,0.0029997073456248,12231,True,,numeric
male_share,numeric,demographics,0.0029997073456248,13577,True,,numeric
median_household_income_missing,categorical,demographics,0.0029997073456248,2,True,,boolean
native_born_other_state_us_share,numeric,demographics,0.0029997073456248,13592,True,,numeric
race_american_indian_or_alaska_native_alone_share,numeric,demographics,0.0029997073456248,12367,True,,numeric
race_asian_alone_share,numeric,demographics,0.0029997073456248,13033,True,,numeric
race_black_alone_share,numeric,demographics,0.0029997073456248,12575,True,,numeric
race_native_hawaiian_or_pacific_islander_alone_share,numeric,demographics,0.0029997073456248,9833,True,,numeric
race_some_other_race_alone_share,numeric,demographics,0.0029997073456248,13173,True,,numeric
race_two_or_more_share,numeric,demographics,0.0029997073456248,13353,True,,numeric
annual_avg_sale_to_list,numeric,listings,0.0,13668,True,,numeric
annual_homes_sold,numeric,listings,0.0,2606,True,,numeric
annual_inventory_mean,numeric,listings,0.0,3234,True,,numeric
annual_median_dom,numeric,listings,0.0017559262510974,13612,True,,numeric
annual_median_ppsf,numeric,listings,7.316359379572725e-05,13667,True,,numeric
annual_median_sale_price,numeric,listings,0.0,13662,True,,numeric
annual_months_of_supply_est,numeric,listings,0.0,12986,True,,numeric
annual_off_market_in_two_weeks,numeric,listings,0.0001463271875914,13054,True,,numeric
annual_sold_above_list,numeric,listings,0.0,13411,True,,numeric
