transformed_feature,importance,feature,source_group
numeric__annual_median_sale_price,0.24308259065360643,annual_median_sale_price,listings
numeric__annual_median_ppsf,0.17723206236126474,annual_median_ppsf,listings
numeric__born_other_state_25plus_bachelors_or_higher_share,0.08222066395552297,born_other_state_25plus_bachelors_or_higher_share,demographics
numeric__education_bachelors_or_higher_share,0.07865420596268248,education_bachelors_or_higher_share,demographics
numeric__log_median_household_income,0.0722099856489101,log_median_household_income,demographics
numeric__foreign_born_25plus_bachelors_or_higher_share,0.04366086585573423,foreign_born_25plus_bachelors_or_higher_share,demographics
numeric__education_some_college_or_associates_share,0.023635211404191468,education_some_college_or_associates_share,demographics
numeric__education_less_than_high_school_share,0.02287979179519623,education_less_than_high_school_share,demographics
numeric__avg_pct_met_overall_z_assessment_year,0.01967386658025895,avg_pct_met_overall_z_assessment_year,school_quality
numeric__age_0_17_share,0.017772829929558632,age_0_17_share,demographics
numeric__crime_property_est_per_1k,0.015722019115688716,crime_property_est_per_1k,crime
numeric__annual_off_market_in_two_weeks,0.014625173437223837,annual_off_market_in_two_weeks,listings
numeric__annual_avg_sale_to_list,0.01440433063623775,annual_avg_sale_to_list,listings
numeric__amenity_per_10k_fitness,0.01132345487025675,amenity_per_10k_fitness,amenities
numeric__amenity_per_10k_coffee_shops,0.010689784399529783,amenity_per_10k_coffee_shops,amenities
numeric__annual_sold_above_list,0.010090933201296894,annual_sold_above_list,listings
numeric__hispanic_or_latino_total_share,0.008861733502592605,hispanic_or_latino_total_share,other
numeric__race_asian_alone_share,0.008583451121831405,race_asian_alone_share,demographics
numeric__annual_median_dom,0.007914420387956365,annual_median_dom,listings
numeric__foreign_born_total_share,0.006998258312458001,foreign_born_total_share,demographics
numeric__minimum_wage_for_model_annual_avg,0.0064760708577581115,minimum_wage_for_model_annual_avg,minimum_wage
numeric__amenity_per_10k_restaurants,0.006423002334930364,amenity_per_10k_restaurants,amenities
numeric__foreign_born_noncitizen_share_of_foreign_born,0.006369785136012027,foreign_born_noncitizen_share_of_foreign_born,demographics
numeric__race_american_indian_or_alaska_native_alone_share,0.006100732304592724,race_american_indian_or_alaska_native_alone_share,demographics
numeric__age_18_24_share,0.004743752765688363,age_18_24_share,demographics
numeric__native_born_other_state_us_share,0.004712721590155823,native_born_other_state_us_share,demographics
numeric__annual_months_of_supply_est,0.004501414577252383,annual_months_of_supply_est,listings
numeric__log_total_population,0.0044655261969259105,log_total_population,demographics
numeric__race_some_other_race_alone_share,0.004254353387939331,race_some_other_race_alone_share,demographics
numeric__age_35_44_share,0.004247874182828042,age_35_44_share,demographics
numeric__race_black_alone_share,0.004097941155687954,race_black_alone_share,demographics
numeric__age_45_64_share,0.003919827496224489,age_45_64_share,demographics
numeric__annual_homes_sold,0.003787602932801349,annual_homes_sold,listings
numeric__age_25_34_share,0.00370404817528123,age_25_34_share,demographics
numeric__crime_violent_est_per_1k,0.003317102596514612,crime_violent_est_per_1k,crime
boolean__minimum_wage_imputed_True,0.0030878244879259226,minimum_wage_imputed,minimum_wage
boolean__minimum_wage_imputed_False,0.0029406745772762536,minimum_wage_imputed,minimum_wage
numeric__annual_inventory_mean,0.0025315017490967796,annual_inventory_mean,listings
numeric__race_two_or_more_share,0.0024226919869226923,race_two_or_more_share,demographics
boolean__foreign_born_noncitizen_derived_True,0.002225203137073495,foreign_born_noncitizen_derived,demographics
boolean__foreign_born_noncitizen_derived_False,0.0022237441011546608,foreign_born_noncitizen_derived,demographics
boolean__total_students_tested_unreliable_True,0.0021427184871097506,total_students_tested_unreliable,school_quality
numeric__male_share,0.0021396130600093506,male_share,demographics
"categorical__parent_metro_region_Los Angeles, CA",0.002092420882567052,parent_metro_region,listings
"categorical__parent_metro_region_Riverside, CA",0.0019989362814762613,parent_metro_region,listings
"categorical__parent_metro_region_San Francisco, CA",0.0016614943897389307,parent_metro_region,listings
boolean__total_students_tested_unreliable_False,0.001551068586154795,total_students_tested_unreliable,school_quality
numeric__overall_score_range,0.0012838548626901707,overall_score_range,school_quality
numeric__race_native_hawaiian_or_pacific_islander_alone_share,0.001198015313038915,race_native_hawaiian_or_pacific_islander_alone_share,demographics
numeric__log1p_n_schools,0.0011945943772617472,log1p_n_schools,school_quality
"categorical__parent_metro_region_Sacramento, CA",0.0009516893218523806,parent_metro_region,listings
"categorical__parent_metro_region_San Jose, CA",0.0008737118385750965,parent_metro_region,listings
categorical__assessment_type_CST,0.0008175724577898525,assessment_type,school_quality
"categorical__parent_metro_region_Fresno, CA",0.00047997934036873673,parent_metro_region,listings
"categorical__parent_metro_region_Bakersfield, CA",0.00046245634790930665,parent_metro_region,listings
