feature,importance_mean_log_mae,importance_std_log_mae,source_group
annual_median_sale_price,0.16860323115844036,0.0018853710096672686,listings
annual_median_ppsf,0.08468426391266988,0.00040567065140926996,listings
log_median_household_income,0.021953200190585918,0.0006244929217181374,demographics
born_other_state_25plus_bachelors_or_higher_share,0.02163806144025385,0.0008454560426070298,demographics
education_bachelors_or_higher_share,0.02153775845024674,0.0006733011055924766,demographics
education_some_college_or_associates_share,0.009216686794841366,0.00036181661896526467,demographics
foreign_born_25plus_bachelors_or_higher_share,0.006420174477158624,0.0003772078945972744,demographics
parent_metro_region,0.004881451159775371,0.00021279530474051754,listings
education_less_than_high_school_share,0.0037647956444356286,0.0002930206139053705,demographics
annual_avg_sale_to_list,0.0032699730456151044,0.0003223563988241173,listings
avg_pct_met_overall_z_assessment_year,0.003193065078115906,0.0002546570829970022,school_quality
foreign_born_total_share,0.0031767297948648602,0.00011544605925705252,demographics
hispanic_or_latino_total_share,0.002728253296863528,0.0001467225622856687,other
age_0_17_share,0.0026607428485384945,0.00021707594726036233,demographics
annual_sold_above_list,0.002233500565947369,0.00015003611943109087,listings
race_black_alone_share,0.0021467130353162193,0.00026938022803970544,demographics
log_total_population,0.0019043953164973094,4.032276445796467e-05,demographics
race_asian_alone_share,0.0016690266144443549,0.00024916469983285775,demographics
amenity_per_10k_coffee_shops,0.0016415445081198853,0.00021223430110840015,amenities
annual_off_market_in_two_weeks,0.0016233722490132968,0.00021614183472977027,listings
age_45_64_share,0.001616529280346396,0.00018552703719192928,demographics
age_35_44_share,0.0015630920299293028,0.0002368154000667025,demographics
foreign_born_noncitizen_share_of_foreign_born,0.0014762507915342781,0.00010264971154238905,demographics
race_some_other_race_alone_share,0.001416515216972955,0.0001395643012370853,demographics
native_born_other_state_us_share,0.0013361590938544305,0.0001878392692682783,demographics
age_25_34_share,0.0013261304983233247,0.00010531635346865634,demographics
annual_median_dom,0.001270239640223761,0.00011327302897808584,listings
amenity_per_10k_restaurants,0.0010996202223688607,8.715469862324796e-05,amenities
crime_violent_est_per_1k,0.0010188784708896586,8.884780172561295e-05,crime
amenity_per_10k_fitness,0.000961438928109376,0.00013790828937139177,amenities
race_american_indian_or_alaska_native_alone_share,0.0009528037513324317,0.00017188532480941535,demographics
annual_months_of_supply_est,0.0008934936654091646,4.724563842065713e-05,listings
age_18_24_share,0.0007325049250894361,9.312246394585276e-05,demographics
male_share,0.0006598609720523729,0.00010728981666845458,demographics
crime_property_est_per_1k,0.0005755566226640502,0.00023069865289216372,crime
annual_homes_sold,0.0005551731558060158,8.778584550406117e-05,listings
annual_inventory_mean,0.0005457868768500018,8.359822408199398e-05,listings
race_native_hawaiian_or_pacific_islander_alone_share,0.0004279027121541795,2.950375359004131e-05,demographics
overall_score_range,0.00027671888833355197,3.3648518794765936e-05,school_quality
race_two_or_more_share,0.00023168448794924634,2.2098886485214023e-05,demographics
zcta_county_assignment_quality,0.00014935429941510537,2.68986777911892e-05,minimum_wage
log1p_n_schools,0.00012068457183080639,5.320387098609539e-05,school_quality
amenity_type_count,6.551724087117683e-05,2.5437677006158274e-05,amenities
median_household_income_missing,1.7146765744377457e-05,6.1533910699265676e-06,demographics
months_observed,1.5889607898569857e-05,9.596579118365002e-06,listings
full_year_coverage,7.068550462063782e-07,6.947890335651e-07,listings
amenity_per_10k_parks,-5.551115123125783e-18,6.544668208791958e-17,amenities
foreign_born_noncitizen_derived,-8.326672684688674e-18,2.989366980140908e-17,demographics
demographics_baseline_eligible,-3.608224830031759e-17,5.59259352151117e-17,demographics
assessment_type,-4.163336342344337e-17,4.47545209131181e-17,school_quality
total_students_tested_unreliable,-4.163336342344337e-17,4.2093414554253694e-17,school_quality
minimum_wage_imputed,-4.4408920985006264e-17,2.2204460492503132e-17,minimum_wage
school_year_complete,-6.106226635438361e-17,3.9836745275876674e-17,school_quality
minimum_wage_for_model_annual_avg,-7.216449660063518e-17,2.830524433501838e-17,minimum_wage
