feature,source_group,importance
annual_median_ppsf,listings,0.4416247
annual_median_sale_price,listings,0.4341253
parent_metro_region,listings,0.02165474
log_median_household_income,demographics,0.016558513
assessment_type,school_quality,0.012442389
education_bachelors_or_higher_share,demographics,0.0074835145
born_other_state_25plus_bachelors_or_higher_share,demographics,0.005537239
minimum_wage_for_model_annual_avg,minimum_wage,0.003763084
log1p_n_schools,school_quality,0.0030872223
school_year_complete,school_quality,0.002985564
education_less_than_high_school_share,demographics,0.002537433
age_25_34_share,demographics,0.0023156095
annual_months_of_supply_est,listings,0.0021246176
race_some_other_race_alone_share,demographics,0.0021190403
age_35_44_share,demographics,0.0020078034
zcta_county_assignment_quality,minimum_wage,0.0018092975
race_black_alone_share,demographics,0.0017924308
hispanic_or_latino_total_share,other,0.001510227
race_american_indian_or_alaska_native_alone_share,demographics,0.00150133
annual_homes_sold,listings,0.001493384
foreign_born_noncitizen_derived,demographics,0.0014608939
annual_off_market_in_two_weeks,listings,0.0014174524
annual_median_dom,listings,0.0013793843
crime_property_est_per_1k,crime,0.0012761432
avg_pct_met_overall_z_assessment_year,school_quality,0.0012666708
annual_sold_above_list,listings,0.0012501648
amenity_per_10k_restaurants,amenities,0.0012494376
annual_avg_sale_to_list,listings,0.0012189738
amenity_type_count,amenities,0.0012139133
education_some_college_or_associates_share,demographics,0.0012074003
age_0_17_share,demographics,0.0011690729
foreign_born_25plus_bachelors_or_higher_share,demographics,0.001158297
native_born_other_state_us_share,demographics,0.0011301045
months_observed,listings,0.0010951479
annual_inventory_mean,listings,0.0010468118
log_total_population,demographics,0.0010416046
age_45_64_share,demographics,0.0010376035
foreign_born_noncitizen_share_of_foreign_born,demographics,0.0010063954
male_share,demographics,0.0009249914
crime_violent_est_per_1k,crime,0.00091181014
race_asian_alone_share,demographics,0.0008646934
amenity_per_10k_fitness,amenities,0.00086005055
foreign_born_total_share,demographics,0.00084706885
total_students_tested_unreliable,school_quality,0.000833659
age_18_24_share,demographics,0.00083088194
race_two_or_more_share,demographics,0.00075660605
overall_score_range,school_quality,0.0007390529
amenity_per_10k_coffee_shops,amenities,0.0007247289
amenity_per_10k_parks,amenities,0.00064228923
minimum_wage_imputed,minimum_wage,0.0005207036
race_native_hawaiian_or_pacific_islander_alone_share,demographics,0.0004445118
median_household_income_missing,demographics,0.0
demographics_baseline_eligible,demographics,0.0
full_year_coverage,listings,0.0
