transformed_feature,importance,feature,source_group
categorical__assessment_type_CAASPP,0.18466167,assessment_type,school_quality
boolean__foreign_born_noncitizen_derived_True,0.08247109,foreign_born_noncitizen_derived,demographics
categorical__assessment_type_CST,0.06866464,assessment_type,school_quality
numeric__minimum_wage_for_model_annual_avg,0.05447833,minimum_wage_for_model_annual_avg,minimum_wage
categorical__assessment_type_INTERPOLATED,0.03759909,assessment_type,school_quality
boolean__foreign_born_noncitizen_derived_False,0.03461394,foreign_born_noncitizen_derived,demographics
numeric__annual_median_sale_price,0.024944557,annual_median_sale_price,listings
"categorical__parent_metro_region_Visalia, CA",0.019100143,parent_metro_region,listings
numeric__log_median_household_income,0.015542942,log_median_household_income,demographics
numeric__annual_months_of_supply_est,0.014660561,annual_months_of_supply_est,listings
numeric__education_bachelors_or_higher_share,0.014642508,education_bachelors_or_higher_share,demographics
boolean__total_students_tested_unreliable_True,0.014045914,total_students_tested_unreliable,school_quality
numeric__annual_median_ppsf,0.013349936,annual_median_ppsf,listings
numeric__annual_homes_sold,0.012265923,annual_homes_sold,listings
boolean__school_year_complete_False,0.011896198,school_year_complete,school_quality
numeric__annual_off_market_in_two_weeks,0.011261154,annual_off_market_in_two_weeks,listings
"categorical__parent_metro_region_Oakland, CA",0.0106711835,parent_metro_region,listings
numeric__annual_sold_above_list,0.010652753,annual_sold_above_list,listings
numeric__avg_pct_met_overall_z_assessment_year,0.010612579,avg_pct_met_overall_z_assessment_year,school_quality
numeric__amenity_type_count,0.0104329735,amenity_type_count,amenities
"categorical__parent_metro_region_Ukiah, CA",0.010214187,parent_metro_region,listings
numeric__foreign_born_total_share,0.010141362,foreign_born_total_share,demographics
numeric__annual_median_dom,0.009976417,annual_median_dom,listings
numeric__born_other_state_25plus_bachelors_or_higher_share,0.00991297,born_other_state_25plus_bachelors_or_higher_share,demographics
numeric__native_born_other_state_us_share,0.009907853,native_born_other_state_us_share,demographics
numeric__race_two_or_more_share,0.009627049,race_two_or_more_share,demographics
numeric__race_some_other_race_alone_share,0.009581997,race_some_other_race_alone_share,demographics
numeric__male_share,0.009319325,male_share,demographics
numeric__age_0_17_share,0.009256714,age_0_17_share,demographics
"categorical__parent_metro_region_Susanville, CA",0.0092231,parent_metro_region,listings
numeric__foreign_born_noncitizen_share_of_foreign_born,0.00912127,foreign_born_noncitizen_share_of_foreign_born,demographics
numeric__education_less_than_high_school_share,0.008992285,education_less_than_high_school_share,demographics
numeric__race_american_indian_or_alaska_native_alone_share,0.008949534,race_american_indian_or_alaska_native_alone_share,demographics
numeric__age_25_34_share,0.008918845,age_25_34_share,demographics
numeric__hispanic_or_latino_total_share,0.008577305,hispanic_or_latino_total_share,other
numeric__age_45_64_share,0.008565961,age_45_64_share,demographics
numeric__race_native_hawaiian_or_pacific_islander_alone_share,0.008426243,race_native_hawaiian_or_pacific_islander_alone_share,demographics
numeric__education_some_college_or_associates_share,0.008425374,education_some_college_or_associates_share,demographics
numeric__crime_property_est_per_1k,0.008322934,crime_property_est_per_1k,crime
numeric__age_18_24_share,0.008176514,age_18_24_share,demographics
numeric__annual_avg_sale_to_list,0.008066455,annual_avg_sale_to_list,listings
numeric__annual_inventory_mean,0.008059485,annual_inventory_mean,listings
numeric__log_total_population,0.008002952,log_total_population,demographics
numeric__log1p_n_schools,0.007988559,log1p_n_schools,school_quality
