feature,importance_mean_log_mae,importance_std_log_mae,source_group
annual_off_market_in_two_weeks,0.0017969219308208717,0.000229622160214843,listings
annual_median_sale_price,0.001562744961859805,0.0002188099664812457,listings
annual_months_of_supply_est,0.0009865558316352412,0.00010881626652977443,listings
annual_homes_sold,0.0006275818258666216,9.153257717865294e-05,listings
parent_metro_region,0.0005029612045984704,7.088029767443612e-05,listings
log_median_household_income,0.00045931538937944163,5.9282893040520676e-05,demographics
crime_property_est_per_1k,0.00025886085391785,8.147812189753759e-05,crime
annual_sold_above_list,0.0001529337061821928,2.7474258200323862e-05,listings
annual_median_ppsf,0.00015034457652444712,6.169311629892431e-05,listings
education_some_college_or_associates_share,0.0001502578357916229,2.0637715236497116e-05,demographics
crime_violent_est_per_1k,0.0001353688381762974,5.585188312484759e-05,crime
foreign_born_total_share,8.817553853992521e-05,4.444628320605158e-05,demographics
education_less_than_high_school_share,5.9317530428334984e-05,1.0540771934731696e-05,demographics
race_some_other_race_alone_share,3.858825261102705e-05,8.062891860799795e-06,demographics
hispanic_or_latino_total_share,3.264418377099676e-05,1.1693927247005296e-05,other
foreign_born_noncitizen_share_of_foreign_born,1.6861735630926965e-05,2.7921862254262425e-05,demographics
amenity_type_count,4.204993843826e-06,7.801840246257641e-06,amenities
age_18_24_share,4.051266045276836e-06,1.084534570143159e-05,demographics
amenity_per_10k_coffee_shops,3.998176503408612e-06,4.08941003733069e-06,amenities
full_year_coverage,2.419215631924154e-06,9.348499674010955e-07,listings
avg_pct_met_overall_z_assessment_year,2.0160520219053566e-06,2.235507921752156e-05,school_quality
amenity_per_10k_restaurants,1.8710600275334555e-06,7.160368630662524e-06,amenities
minimum_wage_imputed,0.0,0.0,minimum_wage
zcta_county_assignment_quality,0.0,0.0,minimum_wage
assessment_type,0.0,0.0,school_quality
school_year_complete,0.0,0.0,school_quality
minimum_wage_for_model_annual_avg,0.0,0.0,minimum_wage
total_students_tested_unreliable,0.0,0.0,school_quality
median_household_income_missing,0.0,0.0,demographics
demographics_baseline_eligible,0.0,0.0,demographics
amenity_per_10k_parks,0.0,0.0,amenities
foreign_born_noncitizen_derived,0.0,0.0,demographics
male_share,-2.0559374573236868e-06,3.9031281604981026e-05,demographics
overall_score_range,-3.354513848377594e-06,1.1140313871077719e-05,school_quality
amenity_per_10k_fitness,-6.021938917785685e-06,1.006984672448062e-05,amenities
foreign_born_25plus_bachelors_or_higher_share,-6.740778879368858e-06,2.1653705399362383e-05,demographics
race_native_hawaiian_or_pacific_islander_alone_share,-8.036189108742709e-06,6.9247894260486076e-06,demographics
native_born_other_state_us_share,-1.0936651588797087e-05,3.533549397762343e-05,demographics
months_observed,-1.2991608771933949e-05,1.2844955737456156e-05,listings
race_american_indian_or_alaska_native_alone_share,-1.333670922271657e-05,1.3281163036630155e-05,demographics
age_35_44_share,-1.3365145005303502e-05,2.7737100597349124e-05,demographics
log1p_n_schools,-1.853304770992048e-05,6.2741603398369094e-06,school_quality
age_25_34_share,-3.00967300599142e-05,1.695817905994959e-05,demographics
race_two_or_more_share,-3.8262149329879036e-05,1.4259579812434173e-05,demographics
annual_inventory_mean,-5.720206582541243e-05,3.162619633474693e-05,listings
age_0_17_share,-7.043632490063844e-05,0.0001012300789421638,demographics
race_black_alone_share,-7.889548916716338e-05,6.110080357058931e-06,demographics
born_other_state_25plus_bachelors_or_higher_share,-0.00013486237958736103,2.0942980744159306e-05,demographics
education_bachelors_or_higher_share,-0.0001374118001301966,6.689884567591936e-05,demographics
annual_avg_sale_to_list,-0.0001589459530184495,5.701848581169506e-05,listings
age_45_64_share,-0.0002408315638587899,2.2650606330576037e-05,demographics
race_asian_alone_share,-0.000252035363110073,6.228059782881014e-05,demographics
annual_median_dom,-0.0002738402112908156,4.530114855794045e-05,listings
log_total_population,-0.00036464204923220835,8.207731331939989e-05,demographics
