feature,importance_mean_log_mae,importance_std_log_mae,source_group
annual_off_market_in_two_weeks,0.0009256805526247552,0.00012059570746629761,listings
annual_months_of_supply_est,0.000908192354852172,7.76530275440673e-05,listings
annual_median_sale_price,0.0008842484137350726,0.00019137086868249728,listings
annual_homes_sold,0.0007604242066127393,0.00010940776747161231,listings
born_other_state_25plus_bachelors_or_higher_share,0.0003761118383703244,8.722853718729692e-05,demographics
race_some_other_race_alone_share,0.00024287140333741907,4.9065981799832614e-05,demographics
education_bachelors_or_higher_share,0.00018951395372839575,7.26728619579747e-05,demographics
hispanic_or_latino_total_share,0.00018667786323646463,1.7372474102987242e-05,other
age_18_24_share,0.00010867961137011883,4.4859396172123365e-05,demographics
foreign_born_25plus_bachelors_or_higher_share,9.656468687103403e-05,3.3449944975122245e-05,demographics
annual_inventory_mean,6.69881677187928e-05,4.6532661692350104e-05,listings
months_observed,3.455153805055622e-05,1.0501698497365474e-05,listings
log_total_population,9.188832773532329e-06,1.2272148466515171e-05,demographics
age_0_17_share,7.983529960714498e-06,3.7932086567639974e-05,demographics
full_year_coverage,4.231104169094557e-06,9.294761024618221e-06,listings
minimum_wage_for_model_annual_avg,0.0,0.0,minimum_wage
foreign_born_noncitizen_derived,0.0,0.0,demographics
minimum_wage_imputed,0.0,0.0,minimum_wage
total_students_tested_unreliable,0.0,0.0,school_quality
school_year_complete,0.0,0.0,school_quality
assessment_type,0.0,0.0,school_quality
amenity_per_10k_parks,0.0,0.0,amenities
demographics_baseline_eligible,0.0,0.0,demographics
median_household_income_missing,-3.926588964858757e-06,3.2443821217100403e-06,demographics
amenity_type_count,-1.5706659074293806e-05,5.092988789789289e-06,amenities
zcta_county_assignment_quality,-1.6983937808642825e-05,4.0612860455876914e-06,minimum_wage
race_american_indian_or_alaska_native_alone_share,-1.741257584381428e-05,3.73785321628802e-05,demographics
crime_property_est_per_1k,-2.0613207230907314e-05,5.928124758938423e-05,crime
foreign_born_total_share,-2.2382106671603452e-05,5.060198903858269e-05,demographics
education_some_college_or_associates_share,-4.180598196026897e-05,3.1396114862290885e-05,demographics
age_35_44_share,-5.76773135989056e-05,2.0039345980331575e-05,demographics
native_born_other_state_us_share,-6.431842016339506e-05,2.2772281301642764e-05,demographics
annual_sold_above_list,-8.817438056484273e-05,4.8765331521893784e-05,listings
race_native_hawaiian_or_pacific_islander_alone_share,-9.380044314468428e-05,1.78809760277082e-05,demographics
age_25_34_share,-9.810449147027722e-05,5.2157017418765935e-05,demographics
annual_median_dom,-0.0001035798826025558,5.221217938045296e-05,listings
amenity_per_10k_fitness,-0.00011179970557430585,2.4392848251349454e-05,amenities
amenity_per_10k_restaurants,-0.00012119526404500147,1.3470143640906025e-05,amenities
foreign_born_noncitizen_share_of_foreign_born,-0.0001229872334331944,3.2463166364733015e-05,demographics
overall_score_range,-0.0001449196521015772,1.9579356136513648e-05,school_quality
amenity_per_10k_coffee_shops,-0.00015054817665386688,1.864455503462794e-05,amenities
age_45_64_share,-0.00015531774834439682,3.58846756931106e-05,demographics
education_less_than_high_school_share,-0.00015684027713862292,2.0237591440208704e-05,demographics
male_share,-0.00016795350479798521,3.178380974292521e-05,demographics
parent_metro_region,-0.0001765647881106308,3.655263463711092e-05,listings
crime_violent_est_per_1k,-0.00018694098010378358,5.037188322084257e-05,crime
log_median_household_income,-0.00021675634140674304,2.7505426665132487e-05,demographics
log1p_n_schools,-0.0002779500182996192,4.986009886761974e-05,school_quality
race_black_alone_share,-0.00031594543697938403,5.2663199881326836e-05,demographics
race_asian_alone_share,-0.00042358408440738295,3.290639030871651e-05,demographics
annual_avg_sale_to_list,-0.0005549371455468716,0.00010261525253337374,listings
race_two_or_more_share,-0.0005737897747882164,7.140908203530515e-05,demographics
annual_median_ppsf,-0.0005858673651195606,5.650554127721777e-05,listings
avg_pct_met_overall_z_assessment_year,-0.0006380294457764779,6.60721187902823e-05,school_quality
